ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8
1.073,0.073,2.474,0.182,0.745,0.927,3.401,2.49
0.036,0.563,2.437,0.182,1.672,1.109,3.474,2.453
1.235,0.073,2.364,0.344,1.036,4,8.182,3.292
1.036,0.364,1.089,0.219,1.599,0.964,4.182,2.51
1.073,0.073,2.401,0.271,0.708,0.964,3.636,3.308
1.292,0.781,2.364,0.109,1.437,1.344,4,3.073
1,0.219,2.526,0.219,2,2.818,3.745,4.453
1.036,0.38,2.563,0.182,1.526,1.036,3.692,2.599
1,0.437,2.328,0.328,1.526,0.927,3.854,3.182
1.036,0.62,2.328,0.146,1.599,0.838,3.599,2.364
0.964,0.656,2.036,0.182,0.781,0.964,3.964,2.563
1.073,0.729,2.437,0.219,0.927,1.036,3.708,3.036
1,1.526,2.364,0.364,1.474,1.109,3.656,2.563
1.036,0.401,2.563,0.255,1.49,1.146,3.964,2.636
4.219,0.073,2.437,0.219,0.818,1.109,4,2.526
0.838,0.708,2.453,0.38,0.781,1.036,3.563,2.328
1.073,0.073,2.563,0.182,0.583,1.036,4.328,3.182
1,0.146,2.364,0.255,1.49,0.964,3.599,3.073
18.818,0.109,2.49,0.219,1.854,1.146,4.109,2.567
1.036,0,2.49,0.781,1.453,3.109,3.599,2.437
1.036,0.109,2.49,0.219,1.453,0.964,3.364,2.599
1.073,0.036,2.49,0.38,1.401,1.073,3.818,2.636
1.036,0.162,2.453,0.344,1.146,1,3.453,2.328
