variable,value,Table
ts1,1.073,data414
ts1,0.036,data414
ts1,1.235,data414
ts1,1.036,data414
ts1,1.073,data414
ts1,1.292,data414
ts1,1.0,data414
ts1,1.036,data414
ts1,1.0,data414
ts1,1.036,data414
ts1,0.964,data414
ts1,1.073,data414
ts1,1.0,data414
ts1,1.036,data414
ts1,4.219,data414
ts1,0.838,data414
ts1,1.073,data414
ts1,1.0,data414
ts1,1.0,data414
ts1,1.036,data414
ts1,1.036,data414
ts1,1.073,data414
ts1,1.036,data414
ts2,0.073,data414
ts2,0.563,data414
ts2,0.073,data414
ts2,0.364,data414
ts2,0.073,data414
ts2,0.781,data414
ts2,0.219,data414
ts2,0.38,data414
ts2,0.437,data414
ts2,0.62,data414
ts2,0.656,data414
ts2,0.729,data414
ts2,1.526,data414
ts2,0.401,data414
ts2,0.073,data414
ts2,0.708,data414
ts2,0.073,data414
ts2,0.146,data414
ts2,0.109,data414
ts2,0.0,data414
ts2,0.109,data414
ts2,0.036,data414
ts2,0.162,data414
ts3,2.474,data414
ts3,2.437,data414
ts3,2.364,data414
ts3,1.089,data414
ts3,2.401,data414
ts3,2.364,data414
ts3,2.526,data414
ts3,2.563,data414
ts3,2.328,data414
ts3,2.328,data414
ts3,2.036,data414
ts3,2.437,data414
ts3,2.364,data414
ts3,2.563,data414
ts3,2.437,data414
ts3,2.453,data414
ts3,2.563,data414
ts3,2.364,data414
ts3,2.49,data414
ts3,2.49,data414
ts3,2.49,data414
ts3,2.49,data414
ts3,2.453,data414
ts4,0.182,data414
ts4,0.182,data414
ts4,0.344,data414
ts4,0.219,data414
ts4,0.271,data414
ts4,0.109,data414
ts4,0.219,data414
ts4,0.182,data414
ts4,0.328,data414
ts4,0.146,data414
ts4,0.182,data414
ts4,0.219,data414
ts4,0.364,data414
ts4,0.255,data414
ts4,0.219,data414
ts4,0.38,data414
ts4,0.182,data414
ts4,0.255,data414
ts4,0.219,data414
ts4,0.781,data414
ts4,0.219,data414
ts4,0.38,data414
ts4,0.344,data414
ts5,0.745,data414
ts5,1.672,data414
ts5,1.036,data414
ts5,1.599,data414
ts5,0.708,data414
ts5,1.437,data414
ts5,2.0,data414
ts5,1.526,data414
ts5,1.526,data414
ts5,1.599,data414
ts5,0.781,data414
ts5,0.927,data414
ts5,1.474,data414
ts5,1.49,data414
ts5,0.818,data414
ts5,0.781,data414
ts5,0.583,data414
ts5,1.49,data414
ts5,1.854,data414
ts5,1.453,data414
ts5,1.453,data414
ts5,1.401,data414
ts5,1.146,data414
ts6,0.927,data414
ts6,1.109,data414
ts6,4.0,data414
ts6,0.964,data414
ts6,0.964,data414
ts6,1.344,data414
ts6,2.818,data414
ts6,1.036,data414
ts6,0.927,data414
ts6,0.838,data414
ts6,0.964,data414
ts6,1.036,data414
ts6,1.109,data414
ts6,1.146,data414
ts6,1.109,data414
ts6,1.036,data414
ts6,1.036,data414
ts6,0.964,data414
ts6,1.146,data414
ts6,3.109,data414
ts6,0.964,data414
ts6,1.073,data414
ts6,1.0,data414
ts7,3.401,data414
ts7,3.474,data414
ts7,8.182,data414
ts7,4.182,data414
ts7,3.636,data414
ts7,4.0,data414
ts7,3.745,data414
ts7,3.692,data414
ts7,3.854,data414
ts7,3.599,data414
ts7,3.964,data414
ts7,3.708,data414
ts7,3.656,data414
ts7,3.964,data414
ts7,4.0,data414
ts7,3.563,data414
ts7,4.328,data414
ts7,3.599,data414
ts7,4.109,data414
ts7,3.599,data414
ts7,3.364,data414
ts7,3.818,data414
ts7,3.453,data414
ts8,2.49,data414
ts8,2.453,data414
ts8,3.292,data414
ts8,2.51,data414
ts8,3.308,data414
ts8,3.073,data414
ts8,4.453,data414
ts8,2.599,data414
ts8,3.182,data414
ts8,2.364,data414
ts8,2.563,data414
ts8,3.036,data414
ts8,2.563,data414
ts8,2.636,data414
ts8,2.526,data414
ts8,2.328,data414
ts8,3.182,data414
ts8,3.073,data414
ts8,2.567,data414
ts8,2.437,data414
ts8,2.599,data414
ts8,2.636,data414
ts8,2.328,data414
