variable,value
ts1,1.235
ts1,1.0
ts1,0.964
ts1,1.0
ts1,0.745
ts1,1.0
ts1,1.089
ts1,1.271
ts1,2.073
ts1,0.964
ts1,1.036
ts1,1.818
ts1,1.0
ts1,1.0
ts1,1.109
ts1,1.401
ts1,1.073
ts1,1.073
ts1,1.073
ts1,0.453
ts1,3.891
ts1,1.0
ts1,1.109
ts1,1.073
ts1,1.453
ts1,2.182
ts1,2.563
ts2,0.073
ts2,0.036
ts2,0.364
ts2,0.036
ts2,0.073
ts2,0.036
ts2,0.073
ts2,0.073
ts2,0.073
ts2,0.073
ts2,0.073
ts2,0.109
ts2,0.109
ts2,0.073
ts2,0.109
ts2,0.636
ts2,0.182
ts2,0.036
ts2,0.036
ts2,0.073
ts2,0.437
ts2,0.109
ts2,0.073
ts2,0.109
ts2,0.036
ts2,0.036
ts2,0.0
ts3,1.073
ts3,3.781
ts3,2.51
ts3,2.417
ts3,2.453
ts3,2.255
ts3,2.255
ts3,2.708
ts3,2.417
ts3,2.38
ts3,2.526
ts3,2.49
ts3,2.292
ts3,2.708
ts3,2.364
ts3,2.292
ts3,2.401
ts3,2.437
ts3,2.526
ts3,2.328
ts3,2.964
ts3,2.401
ts3,2.292
ts3,2.292
ts3,2.49
ts3,2.328
ts3,2.474
ts4,0.109
ts4,0.146
ts4,0.073
ts4,0.344
ts4,0.109
ts4,0.146
ts4,0.146
ts4,0.781
ts4,0.109
ts4,0.235
ts4,0.182
ts4,0.109
ts4,0.198
ts4,0.235
ts4,1.891
ts4,0.255
ts4,0.235
ts4,0.109
ts4,0.49
ts4,0.109
ts4,0.271
ts4,0.109
ts4,0.255
ts4,0.109
ts4,0.146
ts4,0.344
ts4,0.219
ts5,1.109
ts5,1.526
ts5,1.0
ts5,0.672
ts5,1.636
ts5,0.854
ts5,0.599
ts5,1.292
ts5,1.036
ts5,1.271
ts5,0.781
ts5,0.547
ts5,0.708
ts5,1.0
ts5,1.474
ts5,1.599
ts5,1.49
ts5,0.636
ts5,1.583
ts5,1.328
ts5,1.364
ts5,1.344
ts5,1.401
ts5,1.526
ts5,1.292
ts5,0.891
ts5,1.672
ts6,1.437
ts6,0.692
ts6,0.672
ts6,0.656
ts6,0.729
ts6,0.765
ts6,0.765
ts6,0.781
ts6,0.745
ts6,0.656
ts6,1.292
ts6,1.526
ts6,0.781
ts6,0.781
ts6,0.964
ts6,0.765
ts6,1.109
ts6,1.729
ts6,1.073
ts6,1.964
ts6,0.891
ts6,1.0
ts6,0.891
ts6,1.583
ts6,1.453
ts6,0.891
ts6,1.109
ts7,3.781
ts7,4.219
ts7,3.49
ts7,3.453
ts7,3.292
ts7,3.599
ts7,3.526
ts7,3.255
ts7,3.255
ts7,3.49
ts7,3.437
ts7,3.49
ts7,3.364
ts7,4.328
ts7,3.49
ts7,3.453
ts7,3.526
ts7,3.51
ts7,3.364
ts7,3.453
ts7,3.292
ts7,3.328
ts7,3.417
ts7,3.437
ts7,3.401
ts7,3.526
ts7,3.474
ts8,2.818
ts8,2.838
ts8,2.364
ts8,2.453
ts8,2.474
ts8,2.328
ts8,2.672
ts8,2.453
ts8,2.417
ts8,2.364
ts8,2.49
ts8,2.964
ts8,2.364
ts8,2.292
ts8,2.474
ts8,2.474
ts8,2.401
ts8,2.328
ts8,2.328
ts8,2.364
ts8,2.51
ts8,2.364
ts8,2.453
ts8,2.364
ts8,2.636
ts8,2.328
ts8,2.453
